panoid	pixel_error	gt_flow_u_min	gt_flow_v_min	gt_flow_u_mean	gt_flow_v_mean	gt_flow_mag_min	gt_flow_mag_max	gt_flow_mag_mean
15020	1.3611178	8.748844e-06	7.301569e-07	3.7511046	2.7215714	0.0037242197	16.690063	5.1925063
17310	2.0354228	5.8041885e-05	5.6426972e-05	13.449104	12.821133	0.029614935	63.305176	20.204933
81795	2.2471442	5.9204176e-06	3.9488077e-06	9.923832	9.996988	0.014360126	39.52574	15.346493
70024	2.1219997	5.112961e-06	9.097159e-06	10.978262	8.975253	0.010968029	39.711185	15.433814
73144	2.664874	4.5273453e-05	6.4074993e-07	4.751428	2.64649	0.004284502	17.10821	5.7016234
74829	4.096745	1.3835728e-05	7.912517e-06	6.2097106	1.7230685	0.15232335	18.731981	6.540247
20792	16.096317	5.3521246e-05	3.2395124e-05	27.451332	31.133509	0.010840613	173.0034	44.686646
33340	2.4936888	3.5669655e-07	8.34465e-06	6.1960883	6.4978247	0.0024915338	41.911293	9.834956
11846	1.6157408	1.2551434e-05	1.0866672e-05	16.069887	16.574085	0.025045231	71.56459	25.621832
55807	3.661907	8.781254e-05	2.8278679e-05	31.063694	31.984257	0.042074103	93.80046	48.289787
18262	6.387612	2.7801841e-05	7.9758465e-06	10.606587	14.434807	0.0074562565	68.236404	19.424036
17982	4.747529	0.00013216492	2.1044165e-05	28.61681	29.280487	0.021041924	127.9918	44.247547
14685	2.6790888	2.0051375e-05	1.9066036e-05	7.420771	7.39843	0.004403571	27.571905	11.419008
38184	1.9405622	3.4365803e-07	2.156943e-06	2.485695	2.9986165	0.0016095656	14.071121	4.2535734
21106	2.7775805	0.000116143376	0.00011142716	20.564669	19.345718	0.034314618	85.771965	31.863407
14816	2.2955031	1.584366e-05	0.00017954409	26.835253	26.205952	0.027979847	88.572464	41.74157
8430	6.5913124	2.9501505e-05	7.363409e-05	18.850475	29.763838	0.023104789	91.66626	39.96126
3790	1.9115007	4.3353066e-06	1.4472753e-05	4.9252906	4.82488	0.0076637347	25.251955	7.6640105
64707	7.8398633	2.2184104e-06	3.5949051e-06	5.1666317	9.191133	0.005693086	30.359102	11.310286
25458	2.3533397	6.638002e-05	1.7918646e-06	15.471315	16.667324	0.024361216	61.509953	24.926737
71474	2.3767838	2.0228326e-06	5.606562e-06	5.6264663	5.50356	0.0037777903	35.159473	8.526091
11742	1.0088332	9.962358e-06	1.7412007e-05	12.519342	12.831351	0.021884738	47.56412	20.120975
27290	1.5978345	1.2278557e-05	6.4633787e-06	8.819526	6.3526077	0.011731788	40.712082	12.229097
16166	3.0535772	1.4878809e-05	9.49204e-06	11.202875	10.825236	0.015819209	69.15112	17.13429
18788	1.8762463	4.143454e-06	8.486211e-06	8.837441	8.915407	0.0063191615	54.089985	13.657457
65249	21.266417	5.2619725e-06	8.311123e-06	8.144884	8.098465	0.008497011	31.561893	12.339672
55933	5.337188	1.4249235e-06	8.612871e-06	6.9740877	7.612405	0.0069002104	35.60467	11.399023
50654	1.8810898	5.848706e-07	9.0897083e-07	3.368164	4.063018	0.0025430971	23.293945	5.608615
21314	2.8173547	4.9309805e-05	4.2766333e-06	20.886747	15.965436	0.002620605	64.79532	29.852259
25438	4.2962637	1.9669533e-06	5.7779253e-06	8.661196	9.510039	0.0046313237	105.03145	13.718298
51058	2.3637643	4.656613e-08	1.2777746e-06	2.1416423	2.525619	0.0025779586	15.780951	3.729718
50510	1.2034655	9.164214e-07	5.5879354e-08	1.7012919	1.9972996	0.0012855426	12.91695	2.9039223
